climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
7849,52.7,8.5,SBee,76,5,276,5,64,91,255,319
7855,52.7667,8.75,SBee,74,9,302,9,65,85,269,326
7862,52.8,8.8333,SBee,86,11,293,9,77,118,257,336
7868,52.7833,9.1333,SBee,81,11,284,11,72,97,268,298
7872,52.9,8.5833,SBee,82,10,277,10,69,94,269,290
7881,52.85,9.1833,SBee,81,16,283,16,66,102,250,307
7883,52.1667,9.25,SBee,77,7,276,7,72,82,260,284
7890,52.2,9.2,SBee,83,13,285,13,62,108,256,307
7896,52.1333,9.25,SBee,86,12,274,16,74,106,251,300
7897,52.0667,9.2667,SBee,87,14,293,14,73,101,274,311
7900,51.9833,9.25,SBee,90,12,286,15,73,120,263,311
7906,52.3,9.7333,SBee,59,15,278,15,37,73,253,307
7910,52.3,9.5,SBee,92,16,287,16,72,109,256,308
7914,52.4,9.6333,SBee,81,5,259,4,71,93,250,271
7920,52.5333,9.4667,SBee,84,8,280,7,64,100,261,304
7922,52.3833,9.35,SBee,88,13,282,13,76,104,271,305
7923,52.4,9.45,SBee,79,15,265,16,59,90,249,282
7936,52.5667,9.1333,SBee,76,16,284,16,58,88,250,319
7946,52.7167,9.25,SBee,76,16,274,16,55,89,255,291
7951,52.4,9.1167,SBee,87,10,289,10,77,104,266,324
7956,52.45,9.4,SBee,83,16,299,16,72,97,280,324
7957,52.2333,9.1167,SBee,77,3,294,3,68,94,293,298
7963,52.2167,9.4,SBee,88,10,274,9,74,109,262,282
7965,52.1667,9.4333,SBee,87,16,287,16,73,110,264,311
7971,52.2667,9.7667,SBee,87,9,262,9,74,106,256,271
7977,51.5167,9.95,SBee,89,11,281,11,73,118,270,295
7979,52,9.9333,SBee,81,4,264,3,68,98,245,277
7982,52.0667,9.7167,SBee,83,15,263,15,72,102,251,277
7984,52.0833,9.7833,SBee,83,4,290,4,70,102,283,298
7990,51.5333,10.1833,SBee,80,14,275,13,66,111,250,295
7991,51.6167,10.2167,SBee,83,14,286,14,68,101,277,307
7998,51.8,9.7,SBee,77,16,276,16,53,99,234,309
8007,51.55,10.0667,SBee,87,3,270,3,79,96,262,278
8008,52.0167,10.1333,SBee,74,3,273,3,59,95,267,282
8011,52.1,9.9167,SBee,83,13,271,13,71,122,260,291
8018,52.0833,10.15,SBee,78,16,263,16,59,98,250,278
8023,51.7,9.4333,SBee,86,3,289,3,86,87,283,298
8025,51.9333,9.65,SBee,91,11,278,11,70,108,266,305
8028,51.85,9.6333,SBee,83,15,287,15,59,100,261,305
8039,51.5167,9.7,SBee,86,9,276,9,70,108,266,295
8047,51.6333,9.9333,SBee,86,3,285,4,75,97,264,301
8058,51.8,10.0333,SBee,78,7,298,7,60,96,273,306
8064,51.8167,10.0667,SBee,78,16,274,16,57,96,255,291
8069,52.2333,10.2333,SBee,82,4,270,4,72,98,265,275
8071,52.3167,10.2333,SBee,71,4,261,4,62,80,258,266
8091,52.55,9.7667,SBee,75,16,290,16,57,93,260,317
8093,52.4,10.0667,SBee,74,6,258,5,63,83,255,263
8099,52.6,10.1167,SBee,86,16,305,14,75,100,273,335
8101,52.8167,9.9667,SBee,83,16,274,16,72,101,254,300
8128,52.7667,9.4667,SBee,82,4,273,4,78,86,261,287
8129,52.8333,9.6333,SBee,79,4,288,4,69,83,273,296
8133,52.9333,9.7333,SBee,90,14,285,14,72,105,263,300
8135,52.95,9.5333,SBee,77,16,298,16,67,89,273,339
8151,52.5333,10.35,SBee,83,14,280,13,65,102,253,314
8157,52.6833,10.4,SBee,90,6,283,6,68,99,262,309
8164,52.65,10.4333,SBee,83,16,297,16,63,93,273,332
8166,53.3333,9.8833,SBee,86,15,282,15,73,105,263,301
8172,53.3667,9.9833,SBee,94,6,287,7,88,103,262,304
